Plate #,Row,Column,Record no.,ORF,Gene
1,A,1,-,,
1,A,2,1528,YLL040C,VPS13
1,A,3,338,YAL068C,PAU8
1,A,4,-,,
1,A,5,339,YAL067C,SEO1
1,A,6,1529,YLL041C,SDH2
1,A,7,340,YAL066W,YAL066W
1,A,8,1530,YLL042C,ATG10
1,A,9,341,YAL065C,YAL065C
1,A,10,1531,YLL043W,FPS1
1,A,11,345,YAL062W,GDH3
1,A,12,1533,YLL045C,RPL8b
1,A,13,346,YAL061W,BDH2
1,A,14,1534,YLL046C,RNP1
1,A,15,347,YAL060W,BDH1
1,A,16,1535,YLL047W,YLL047W
1,A,17,348,YAL059W,ECM1
1,A,18,1539,YLL051C,FRE6
1,A,19,349,YAL058W,CNE1
1,A,20,1540,YLL052C,AQY2
1,A,21,351,YAL056W,GPB2
1,A,22,1541,YLL053C,YLL053C
1,A,23,352,YAL055W,PEX22
1,A,24,1542,YLL054C,YLL054C
1,B,1,2730,YLR119W,SRN2
1,B,2,611,YMR035W,IMP2
1,B,3,2731,YLR120C,YPS1
1,B,4,612,YMR036C,MIH1
1,B,5,-,,
1,B,6,615,YMR039C,SUB1
1,B,7,2732,YLR121C,YPS3
1,B,8,-,,
1,B,9,2733,YLR122C,YLR122C
1,B,10,616,YMR040W,YET2
1,B,11,2734,YLR123C,YLR123C
1,B,12,617,YMR041C,ARA2
1,B,13,2735,YLR124W,YLR124W
1,B,14,618,YMR042W,ARG80
1,B,15,2736,YLR125W,YLR125W
1,B,16,620,YMR044W,IOC4
1,B,17,481,YML089C,YML089C
1,B,18,721,YMR140W,SIP5
1,B,19,482,YML088W,UFO1
1,B,20,722,YMR141C,YMR141C
1,B,21,483,YML087C,AIM33
1,B,22,724,YMR143W,RPS16a
1,B,23,484,YML086C,ALO1
1,B,24,725,YMR144W,YMR144W
1,C,1,354,YAL053W,FLC2
1,C,2,1543,YLL055W,YCT1
1,C,3,355,YAL051W,OAF1
1,C,4,1544,YLL056C,YLL056C
1,C,5,356,YAL049C,AIM2
1,C,6,1545,YLL057C,JLP1
1,C,7,357,YAL048C,GEM1
1,C,8,1546,YLL058W,YLL058W
1,C,9,359,YAL046C,AIM1
1,C,10,1548,YLL060C,GTT2
1,C,11,360,YAL045C,YAL045C
1,C,12,1549,YLL061W,MMP1
1,C,13,361,YAL044C,GCV3
1,C,14,1550,YLL062C,MHT1
1,C,15,363,YAL042W,ERV46
1,C,16,1551,YLL063C,AYT1
1,C,17,364,YAL043C-a,YAL043C-a
1,C,18,1556,YLR001C,YLR001C
1,C,19,366,YAL040C,CLN3
1,C,20,1558,YLR003C,CMS1
1,C,21,367,YAL039C,CYC3
1,C,22,1559,YLR004C,THI73
1,C,23,369,YAL037W,YAL037W
1,C,24,1566,YLR011W,LOT6
1,D,1,486,YML084W,YML084W
1,D,2,726,YMR145C,NDE1
1,D,3,487,YML083C,YML083C
1,D,4,728,YMR147W,YMR147W
1,D,5,488,YML082W,YML082W
1,D,6,729,YMR148W,OSW5
1,D,7,489,YML081W,TDA9
1,D,8,731,YMR151W,YIM2
1,D,9,490,YML080W,DUS1
1,D,10,732,YMR150C,IMP1
1,D,11,491,YML079W,YML079W
1,D,12,733,YMR152W,YIM1
1,D,13,492,YML078W,CPR3
1,D,14,734,YMR153W,NUP53
1,D,15,507,YML063W,RPS1b
1,D,16,735,YMR153C-A,YMR153C-A
1,D,17,508,YML062C,MFT1
1,D,18,737,YMR155W,YMR155W
1,D,19,509,YML061C,PIF1
1,D,20,738,YMR156C,TPP1
1,D,21,510,YML060W,OGG1
1,D,22,739,YMR157C,AIM36
1,D,23,511,YML059C,NTE1
1,D,24,741,YMR158W-A,YMR158W-A
1,E,1,370,YAL036C,RBG1
1,E,2,1567,YLR012C,YLR012C
1,E,3,371,YAL035W,FUN12
1,E,4,1568,YLR013W,GAT3
1,E,5,374,YAL034C,FUN19
1,E,6,1569,YLR014C,PPR1
1,E,7,377,YAL031C,GIP4
1,E,8,1570,YLR015W,BRE2
1,E,9,378,YAL030W,SNC1
1,E,10,1571,YLR016C,PML1
1,E,11,379,YAL029C,MYO4
1,E,12,1572,YLR017W,MEU1
1,E,13,380,YAL028W,FRT2
1,E,14,1573,YLR018C,POM34
1,E,15,381,YAL027W,SAW1
1,E,16,1574,YLR019W,PSR2
1,E,17,382,YAL026C,DRS2
1,E,18,1575,YLR020C,YEH2
1,E,19,385,YAL023C,PMT2
1,E,20,1576,YLR021W,IRC25
1,E,21,386,YAL022C,FUN26
1,E,22,1578,YLR023C,IZH3
1,E,23,387,YAL021C,CCR4
1,E,24,1579,YLR024C,UBR2
1,F,1,512,YML058W,SML1
1,F,2,742,YMR159C,ATG16
1,F,3,513,YML057W,CMP2
1,F,4,744,YMR161W,HLJ1
1,F,5,514,YML058C-A,YML058C-A
1,F,6,745,YMR162C,DNF3
1,F,7,515,YML056C,IMD4
1,F,8,746,YMR163C,INP2
1,F,9,516,YML055W,SPC2
1,F,10,747,YMR164C,MSS11
1,F,11,517,YML054C,CYB2
1,F,12,749,YMR166C,YMR166C
1,F,13,518,YML053C,YML053C
1,F,14,750,YMR167W,MLH1
1,F,15,519,YML052W,SUR7
1,F,16,752,YMR169C,ALD3
1,F,17,520,YML051W,GAL80
1,F,18,753,YMR170C,ALD2
1,F,19,521,YML050W,AIM32
1,F,20,756,YMR172C-A,YMR172C-A
1,F,21,523,YML048W,GSF2
1,F,22,758,YMR173W-A,YMR173W-A
1,F,23,524,YML048W-A,YML058C-A
1,F,24,759,YMR174C,PAI3
1,G,1,388,YAL020C,ATS1
1,G,2,1580,YLR025W,SNF7
1,G,3,389,YAL019W,FUN30
1,G,4,1582,YLR027C,AAT2
1,G,5,390,YAL018C,YAL018C
1,G,6,1583,YLR028C,ADE16
1,G,7,391,YAL017W,PSK1
1,G,8,2653,YLR042C,YLR042C
1,G,9,393,YAL015C,NTG1
1,G,10,2654,YLR043C,TRX1
1,G,11,394,YAL014C,SYN8
1,G,12,2655,YLR044C,PDC1
1,G,13,395,YAL013W,DEP1
1,G,14,2657,YLR046C,YLR046C
1,G,15,397,YAL011W,SWC3
1,G,16,2658,YLR047C,FRE8
1,G,17,398,YAL010C,MDM10
1,G,18,2659,YLR048W,RPS0b
1,G,19,399,YAL009W,SPO7
1,G,20,2660,YLR049C,YLR049C
1,G,21,400,YAL008W,FUN14
1,G,22,2664,YLR053C,YLR053C
1,G,23,401,YAL007C,ERP2
1,G,24,2665,YLR054C,OSW2
1,H,1,534,YML037C,YML037C
1,H,2,760,YMR175W,SIP18
1,H,3,536,YML035C,AMD1
1,H,4,761,YMR176W,ECM5
1,H,5,537,YML034W,SRC1
1,H,6,762,YMR177W,MMT1
1,H,7,538,YML035C-A,YML035C-A
1,H,8,763,YMR178W,YMR178W
1,H,9,539,YML033W,YML033W
1,H,10,764,YMR179W,SPT21
1,H,11,540,YML032C,RAD52
1,H,12,765,YMR180C,CTL1
1,H,13,543,YML030W,RCF1
1,H,14,767,YMR182C,RGM1
1,H,15,544,YML029W,USA1
1,H,16,768,YMR183C,SSO2
1,H,17,545,YML028W,TSA1
1,H,18,769,YMR184W,ADD37
1,H,19,547,YML026C,RPS18b
1,H,20,771,YMR186W,HSC82
1,H,21,549,YML024W,RPS17a
1,H,22,772,YMR187C,YMR187C
1,H,23,553,YML020W,YML020W
1,H,24,773,YMR188C,MRPS17
1,I,1,402,YAL004W,YAL004W
1,I,2,2666,YLR055C,SPT8
1,I,3,403,YAL005C,SSA1
1,I,4,2667,YLR056W,ERG3
1,I,5,405,YAL002W,VPS8
1,I,6,2668,YLR057W,MNL2
1,I,7,407,YAR002W,NUP60
1,I,8,2669,YLR058C,SHM2
1,I,9,408,YAR003W,SWD1
1,I,10,2670,YLR059C,REX2
1,I,11,413,YAR014C,BUD14
1,I,12,2672,YLR061W,RPL22a
1,I,13,414,YAR015W,ADE1
1,I,14,2673,YLR062C,BUD28
1,I,15,415,YAR018C,KIN3
1,I,16,2674,YLR063W,YLR063W
1,I,17,417,YAR020C,PAU7
1,I,18,2675,YLR064W,PER33
1,I,19,418,YAR023C,YAR023C
1,I,20,2676,YLR065C,ENV10
1,I,21,419,YAR027W,UIP3
1,I,22,2678,YLR067C,PET309
1,I,23,420,YAR028W,YAR028W
1,I,24,2679,YLR068W,FYV7
1,J,1,554,YML019W,OST6
1,J,2,774,YMR189W,GCV2
1,J,3,555,YML018C,YML018C
1,J,4,775,YMR190C,SGS1
1,J,5,556,YML017W,PSP2
1,J,6,776,YMR191W,SPG5
1,J,7,557,YML016C,PPZ1
1,J,8,777,YMR192W,GYL1
1,J,9,559,YML014W,TRM9
1,J,10,778,YMR193W,MRPL24
1,J,11,560,YML013W,UBX2
1,J,12,779,YMR194W,RPL36a
1,J,13,561,YML013C-A,YML013C-A
1,J,14,780,YMR193C-A,YMR193C-A
1,J,15,562,YML012W,ERV25
1,J,16,781,YMR195W,ICY1
1,J,17,563,YML011C,RAD33
1,J,18,782,YMR196W,YMR196W
1,J,19,567,YML009c,MRPL39
1,J,20,784,YMR198W,CIK1
1,J,21,568,YML008C,ERG6
1,J,22,785,YMR199W,CLN1
1,J,23,569,YML007W,YAP1
1,J,24,787,YMR201C,RAD14
1,K,1,421,YAR029W,YAR029W
